PSR S/N sigma(S/N) integration_time normalised_snr RA Dec
J0419+44 28.9388427735 1.6697071107600001 1175.65333333 20.673649342220415 4 44
J0413+58 33.6312823296 4.182123943680001 1597.235 20.612688628431965 4 58
J0421-0345 21.5821011985 7.48479308198 660.726760976 20.56640582588562 4 3
J0742+4110 27.5875966511 11.995599849200001 1105.97761905 20.319654704037095 7 41
J2000+29 25.583985036399998 4.5418901202 953.2021774189999 20.29790916701849 20 29
J0341+5711 30.845113130100003 15.0916142439 1386.71455289 20.289365043703306 3 57
J0406+3039 26.0438638089 12.9274964771 992.3228340430001 20.25137652442095 4 30
J0324+5239 27.2211033804 19.8983461443 1087.48242188 20.219491403555185 3 52
B1821-19 24.515465969 4.4950375634599995 882.288390244 20.216710648073548 18 19
J0111+6624 37.220852190100004 8.36752309392 2084.09612245 19.971149591074536 1 66
J0751+1807 21.6159287896 6.0251097174199995 704.570260073 19.947449411115024 7 18
J0325+67 38.2216964435 13.337816168900002 2287.04813559 19.577080721544977 3 67
J1434+7257 42.100689953 22.4527587021 2809.58045455 19.45557639759816 14 72
J1741+1351 22.806020078299998 11.682508735199999 849.054136364 19.17155926710929 17 13
B0621-04 22.571706621300002 4.43063053179 834.726842105 19.136734536777496 6 4
J2018+3431 13.8271600294 3.4176872919099996 315.6008 19.065121032932083 20 34
J1645+1012 22.2967002327 8.84777117011 831.4687027030001 18.940579697097764 16 10
J1908+0734 22.021220525100002 2.18562665504 820.983666667 18.825640141764715 19 7
J1823-0154 22.0607585907 0.0 830.9960000000001 18.74548151991495 18 1
J2033+1734 22.8909663729 4.2344413876399996 898.995993631 18.70082966171028 20 17
B1702-19 22.372368534 8.55902138755 861.137962617 18.674596306054475 17 19
J1941+02 21.6487356424 8.197997103330001 832.636852941 18.37724257098178 19 2
J0815+0939 19.5609860715 10.0898353929 687.121533569 18.278880327696818 8 9
J1239+32 23.4011972883 8.28877466083 988.01413913 18.23610664854953 12 32
J1736+05 21.2268311163 20.4314474443 814.025231707 18.223922360490814 17 5
J1837+1221 21.6511520809 2.5499358289900003 847.302111111 18.219543509439383 18 12
J1907+57 28.7947219667 2.70142809334 1537.84428571 17.98590656797941 19 57
J2340+08 16.8735147678 3.64851744449 542.548454545 17.744424385579002 23 8
B1534+12 20.9892912148 13.6655381532 843.380807453 17.703598086935408 15 12
J2044+28 22.130160100799998 4.344191181319999 946.399140625 17.620694125159773 20 28
J1643-1224 20.678011671700002 5.0396655710100005 845.0054111110001 17.424272574873058 16 12
J0647+0913 19.6793783289 11.049642094700001 767.505461794 17.399880386618367 6 9
J1842+0257 20.3115723928 3.7954006509800005 852.642333333 17.038671287374957 18 2
J0611+1436 14.409885091400001 6.6830791751900005 434.840738095 16.926650643699528 6 14
J2053+4650 14.740445915499999 2.6683209949799997 455.63897959199994 16.9151483703371 20 46
J2043+7045 33.7814888467 6.165643822969999 2393.1033125 16.915065642107532 20 70
J0201+7005 35.2809580868 10.7153828578 2686.58779661 16.67306628038118 2 70
J1821+4147 22.644104920900002 4.32740379035 1115.91384615 16.60410421520379 18 41
J2015+2524 15.3157938586 7.6435471241799995 513.711916667 16.55218445667839 20 25
J1938+6604 30.3386575312 5.6830702340100006 2027.40981159 16.504455947070063 19 66
J2022+2534 20.265049963699997 3.79524582006 920.465230769 16.36136788577634 20 25
B1903+07 18.8727093898 4.70077853012 824.003359375 16.104431058368743 19 7
J0509+3801 21.2814591382 4.785416318869999 1051.05161261 16.07922103324285 5 38
B1700-18 19.174177796400002 11.2736421647 862.2358842980001 15.994818956038431 17 18
B1919+20 18.7366550104 4.16254704689 876.765314465 15.499796824684138 19 20
J1911+1758 18.6776390075 0.9173635842450001 874.995 15.466598681031149 19 17
B1804-12 17.9287367824 7.783869217160001 815.165404531 15.381633049430103 18 12
B1851-14 18.2948312759 3.25132000238 860.967333333 15.27251979950906 18 14
J0414+31 19.4400698559 6.09296579081 977.056162162 15.233990566318484 4 31
J1850+0026 17.6954975128 1.15353387611 824.6419999999999 15.09404629000075 18 0
J1503+2111 18.2332540655 12.887109201700001 877.0245919539999 15.081131372353509 15 21
J1843-0000 17.699777126300003 20.4690595576 829.153333333 15.056568263529613 18 0
J0854+54 23.220051779299997 10.503403096 1444.62825581 14.964449896678872 8 54
J1710+49 21.5405750618 22.4296502933 1263.1183199999998 14.846049405181015 17 49
J0139+5621 13.4339772997 12.3356750251 500.03913793099997 14.715608880901137 1 56
J1630+3734 19.455193117 14.1568671077 1050.19393443 14.70538565184726 16 37
J1913+1011 17.4176249504 0.476760626387 842.7280000000001 14.69673448113924 19 10
J0609+2130 12.3025674483 3.7745897634199994 420.878611765 14.689024383550814 6 21
J2002+30 18.3963375678 5.804941182189999 956.779491803 14.568038027631056 20 30
B0756-15 17.3319866868 6.05921575342 851.110359116 14.552279709807015 7 15
J1848+12 15.0050930977 5.2830042838999995 637.9735 14.551675443007738 18 12
J1829+25 17.8568413833 3.5745143586300006 918.9021379310001 14.42931236670509 18 25
B1848+04 17.3976818721 1.0838772401299999 874.316333333 14.412280784727425 18 4
J1904+33 18.5932305527 3.1276566093500002 1000.06704 14.401771717263017 19 33
J2235+1506 17.1967549509 7.96432641885 859.161965517 14.370921148896127 22 15
J1931+30 17.8811685398 3.7832095353699993 939.4084970760001 14.290396531095697 19 30
J1923+2515 17.674912391099998 6.024522445110001 919.904814634 14.274517884462647 19 25
J1538+2345 16.9883785248 12.2340722151 851.981466667 14.256485625343396 15 23
J2214+3000 18.1421055217 11.645647258499999 974.604256228 14.234727640202603 22 30
J1848+0604 15.5252361298 1.2770510374 717.73175 14.194913822946255 18 6
J1840-0815 16.7074935436 3.00191701745 835.2230000000001 14.16073203111788 18 8
J1555-0515 16.6515318 5.5583092023 835.643014493 14.109753374491774 15 5
B1257+12 16.464497699000002 7.4389435622 844.579594595 13.877262988343524 12 12
B0906-17 16.418446221 6.999005623210001 856.622112195 13.740832308655682 9 17
J1647+66 25.326651850799998 9.014098036739998 2047.66063291 13.709588366355984 16 66
J1842+1332 15.5387897087 4.8278454377 778.595056604 13.64071054983515 18 13
